count,date,title,description,org_link,link
1,2024-02-13 16:36:00,"신동빈 'AI 전환' 속도전…롯데, 내달 청사진 나온다",롯데그룹이 미래 먹거리로 낙점한 <b>인공지능</b>(AI) 전환에 대한 청사진이 다음달 나온다. 신동빈 롯데 회장이 최근 여러 차례 강조한 'AI 트랜스포메이션(<b>인공지능</b> 전환)' 주문에 따라 관련 사업에 속도를 내는 모습이다.... ,https://view.asiae.co.kr/article/2024021309384795927,https://n.news.naver.com/mnews/article/277/0005379222?sid=101
2,2024-02-13 16:36:00,"두부, 경주시에 장애양육코칭 서비스 '두부홈즈' 지원",<b>인공지능</b>(AI) 기업 두부(dubu)가 최근 경주시장애인가족지원센터는 저연령층 자폐성 장애 아동을 키우는 6명의 양육자에게 '두부홈즈(dubuhomes)'를 제공했다고 13일 밝혔다. 경주시장애인가족지원센터 문예지 사회복지사는... ,https://www.fortunekorea.co.kr/news/articleView.html?idxno=34479,https://www.fortunekorea.co.kr/news/articleView.html?idxno=34479
3,2024-02-13 16:36:00,"청주시, AI·IoT 기반 어르신 건강관리사업 대상자 모집",※ AI(artificial intelligence) : <b>인공지능</b> ※ IoT(the lnternet of Things) : 사물(가전 장치)에 센서를 부착해 실시간으로 정보를 모은 후 인터넷을 통해 개별 사물들끼리 정보를 주고받는 정보 기술 이 사업은 어르신의 허약... ,http://www.newstnt.com/news/articleView.html?idxno=343916,http://www.newstnt.com/news/articleView.html?idxno=343916
4,2024-02-13 16:34:00,"과기정통부, 3만원대 5G 요금제 신설…과기의학전문대학원 설립 추진","차세대반도체 기술 초격차를 위해 국산 저전력·고성능 <b>인공지능</b>(AI) 반도체 개발·실증 등 AI반도체와 산·학·연 협업 등을 통한 화합물반도체, 3D 적층·이종접합 등 원천기술개발 등 첨단패키징 분야를 지원한다.... ",https://www.viva100.com/main/view.php?key=20240213010003509,https://www.viva100.com/main/view.php?key=20240213010003509
5,2024-02-13 16:34:00,"괴기부, 글로벌 R&amp;D투자 3.6배 확대…통신비 부담 완화","또 <b>인공지능</b>(AI) 기반 경제성장과 통신시장 경쟁 활성화 등을 중점적으로 추진하겠다고 밝혔다. 과기정통부는 13일 이러한 내용을 담아 '글로벌 과학기술 강국, 디지털 모범국가 도약'을 목표로 하는 올해 주요정책... ",http://www.metroseoul.co.kr/article/20240213500557,http://www.metroseoul.co.kr/article/20240213500557
6,2024-02-13 16:34:00,"韓 어린이, 스마트폰·PC 하루 3시간 넘게 쓴다","어린이가 가장 많이 이용하는 미디어 기기는 스마트폰(77.6%), 스마트 TV(65.6%), 태블릿PC(57.1%), 컴퓨터(24.7%), TV(17.1%), 게임 콘솔(16.6%), <b>인공지능</b> 스피커(12.3%) 순으로 나타났다. 이 중 서비스 및 플랫폼 이용율은... ",http://www.wolyo.co.kr/news/articleView.html?idxno=235887,http://www.wolyo.co.kr/news/articleView.html?idxno=235887
7,2024-02-13 16:34:00,이경주 광주정보문화산업진흥원장 취임 1주년…“민선8기 꿀잼도시 광주 조성...,<b>인공지능</b>(AI) 혁신과 K-콘텐츠의 약진 등 글로벌 경쟁력을 갖추기 위한 정책기능의 강화 등에 힘써왔다. 지난해 주목할 만한 성과로는 인도네시아 국영 통신사인 텔콤과의 업무제휴를 비롯한 해외 협력체계 확보와... ,https://www.etnews.com/20240213000299,https://n.news.naver.com/mnews/article/030/0003180618?sid=102
8,2024-02-13 16:33:00,"[마켓톺] 저PBR 랠리 소외됐던 반도체주, 미국발 AI모멘텀에 '활짝'","최근 미국 증시에서 엔비디아와 ARM 등 <b>인공지능</b>(AI) 관련 주가 급부상한 덕분이다. 13일 연합인포맥스와 한국거래소에 따르면 이날 SK하이닉스 주가 상승률은 5.04%로, 코스피 전체 평균인 1.12%를 크게 웃돌았다.... ",https://www.yna.co.kr/view/AKR20240213119400008?input=1195m,https://n.news.naver.com/mnews/article/001/0014502721?sid=101
9,2024-02-13 16:32:00,"경북도, 참외 '담배가루이 스마트포획기' 특허 기술이전","참외는 주로 단동형 하우스에서 대부분 재배되기 때문에 여러 곳의 하우스를 이동할 수 있는 이동시스템과 <b>인공지능</b> 기술을 접목해 병해충을 판별하고, 무인 약제살포와 자외선(UV)을 이용한 흰가루병 예방 기술을... ",http://www.aflnews.co.kr/news/articleView.html?idxno=264853,http://www.aflnews.co.kr/news/articleView.html?idxno=264853
10,2024-02-13 16:32:00,[尹 민생토론] 부산 구덕운동장 복합개발 속도…센텀2지구 지방판 판교로,"이에 따라 도시첨단산업단지 조성을 위해 올해 하반기 착공을 앞두고 있는 부산 센텀2지구를 도심융합특구로 지정해 미래 모빌리티, 로봇, <b>인공지능</b> 등 첨단산업 거점으로 탄생시킨다는 구상이다. 세제 감면과 금융지원... ",https://www.dailian.co.kr/news/view/1327715/?sc=Naver,https://n.news.naver.com/mnews/article/119/0002799175?sid=101
11,2024-02-13 16:32:00,"'엔비디아, 나만 안샀나?'...소외감에 투자 과열","그는 이번에는 <b>인공지능</b>(AI)을 둘러싼 흥분, 미국이 연착륙 할 것이라는 기대가 주가 상승의 촉매가 되고 있다고 지적했다. 에마뉘엘 디렉터는 &quot;투자심리가 아주 매우 강한 데 비해 비관론은 제거됐다&quot;면서 &quot;(시장이)... ",http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202402130187&t=NN,https://n.news.naver.com/mnews/article/215/0001148206?sid=101
12,2024-02-13 16:32:00,[데일리픽] 테무·쉬인 약진 속 아마존의 딜레마...비트코인 5만달러 돌파,■ 엔비디아 CEO &quot;AI 개발 비용 점차 감소할 것&quot; 젠슨 황 엔비디아 최고경영자(CEO)가 미래 <b>인공지능</b>(AI) 개발 비용이 감소할 것이라고 내다봤다. 12일(현지시간) 블룸버그에 따르면 젠슨 황은 세계정부회의에서 &quot;향후 몇... ,https://www.digitaltoday.co.kr/news/articleView.html?idxno=505691,https://www.digitaltoday.co.kr/news/articleView.html?idxno=505691
13,2024-02-13 16:32:00,"[스토리포토]과기부, '단통법 폐지'와 '글로벌 연구개발(R&amp;D)' 관련 발표",이에 따라 △세계 최고 R&amp;D허브 조성 △도전적 R&amp;D로 혁신 견인 △<b>인공지능</b> 디지털 대전환 선도 △국민과 함께하는 따뜻한 AI 디지털 등의 4대 추진 전략을 추진한다. 이종호 과학기술정보통신부 장관은 발표를 통해... ,https://www.newsway.co.kr/news/view?ud=2024021316285301073,https://www.newsway.co.kr/news/view?ud=2024021316285301073
14,2024-02-13 16:31:00,글로벌 R&amp;D예산 3.6배 확대…3만원대 5G 요금제 신설,"AI안전·규범과 관련, 사회적 공론화를 거쳐 새로운 디지털 질서 정립 추진계획을 3월 수립하고, <b>인공지능</b>기본법 제정, AI안전연구소 신설 등을 추진한다. 아울러 올해는 5G 요금제 최저구간(3만원대) 신설을 비롯해... ",http://www.fnnews.com/news/202402131541290206,https://n.news.naver.com/mnews/article/014/0005141556?sid=105
15,2024-02-13 16:30:00,코스피·코스닥 3거래일 연속 상승…저PBR·AI株 동반 강세 [마감 시황],"주가순자산비율(PBR)이 1배 미만인 종목이 강세를 보인 가운데, <b>인공지능</b>(AI) 관련 주도 동반 급등하며 코스피는 1%, 코스닥은 2%대 상승했다. 13일 코스피 종가는 전 거래일보다 29.32포인트(1.12%) 오른... ",https://www.sedaily.com/NewsView/2D5CEWCJPW,https://n.news.naver.com/mnews/article/011/0004299000?sid=101
16,2024-02-13 16:30:00,글로벌 AI 신약 개발 뭉친다…'손에 손잡고' 데이터 빗장 풉시다,글로벌 기업은 물론 국내 기업들도 고립됐던 데이터 빗장을 풀고 'AI(<b>인공지능</b>) 신약' 개발에 협력하고 있다. 비용 절감과 효율성 극대화 등 AI 신약에 대해 혁신적이란 평가가 나오고 있기 때문이다. 특히 AI 신약... ,http://news.mt.co.kr/mtview.php?no=2024021308462178965,https://n.news.naver.com/mnews/article/008/0004998036?sid=101
17,2024-02-13 16:30:00,"파미셀, 지난해 매출액 562억원·당기순익 37억원",이어 그는 “최근에는 AI(<b>인공지능</b>) 관련 저유전율소재 및 광학용 소재와 같은 첨단소재 분야에서 신규 수요가 급증해 파미셀의 성장을 견인할 것”이라고 덧붙였다.한편 파미셀은 최근 첨단재생바이오법 개정으로... ,http://www.yakup.com/news/index.html?mode=view&cat=12&nid=290406,http://www.yakup.com/news/index.html?mode=view&cat=12&nid=290406
18,2024-02-13 16:30:00,"코스피·코스닥, 3거래일 연속 동반 상승…외국인 SK하이닉스·현대차·삼성전...",주가순자산비율(PBR)이 낮은 업종들의 상승이 이어지는 가운데 연휴 휴장 기간 미국 증시에서 AI(<b>인공지능</b>) 관련 종목이 급등하면서 한국 증시에서도 대형 반도체주가 상승한 덕분이다. 이날 코스피... ,http://www.topstarnews.net/news/articleView.html?idxno=15456033,http://www.topstarnews.net/news/articleView.html?idxno=15456033
19,2024-02-13 16:30:00,[공모주 예고] 에이피알 청약 D-1 두근두근...福 누가 당첨되나,에피알은 13일 열린 기업설명회에서 미래성장전략의 일환으로 <b>인공지능</b> 개인화 추천 솔루션을 통한 고객 락인 강화를 제시했다. 이것은 디바이스와 연동된 어플리케이션을 통해 사용자 데이터를 수집하는 기법이다.... ,https://www.cbci.co.kr/news/articleView.html?idxno=458711,https://www.cbci.co.kr/news/articleView.html?idxno=458711
20,2024-02-13 16:28:00,"&quot;봄이 왔어요&quot;... 백화점업계, 봄 맞이 '생기와 활력' 프로모션 활발","사진=롯데백화점 롯데백화점은 지난 12일 AI(<b>인공지능</b>)를 활용한 2024년 봄 시즌 비주얼 이미지를 공개했다. 롯데백화점은 다음달 28일까지 '원더 드림스, 도심 한복판에서 발견한 봄'이라는 테마로 비현실적이지만 경이로운... ",https://www.pointdaily.co.kr/news/articleView.html?idxno=190306,https://www.pointdaily.co.kr/news/articleView.html?idxno=190306
21,2024-02-13 16:28:00,&quot;광주는 AI 반도체 패키징 산업육성 최적지&quot;,"국가AI데이터센터 현장방문, 광주 <b>인공지능</b>산업·반도체단지 추진 현황 발표 등으로 진행됐다. 참석자들은 &quot;광주 <b>인공지능</b>집적단지조성 1단계 사업으로 세계적 수준의 데이터센터가 구축됐다&quot;며 &quot;광주의 기업육성... ",http://www.mdilbo.com/detail/DDAuq0/712633,http://www.mdilbo.com/detail/DDAuq0/712633
22,2024-02-13 16:28:00,"&quot;수요분석부터 마케팅까지&quot;...유통업계, 팔방미인 'AI 접목' 박차","<b>인공지능</b>(AI)을 포함한 디지털 신기술이 전 산업 영역에 영향을 미치는 가운데, 유통업계도 AI 기술을 활용해 혁신적인 서비스 제공에 적극적으로 나서고 있다. AI의 강력한 분석과 예측 능력을 활용해 고객 경험 향상은... ",https://daily.hankooki.com/news/articleView.html?idxno=1051184,https://daily.hankooki.com/news/articleView.html?idxno=1051184
23,2024-02-13 16:28:00,"과학기술정보통신부, '2024년 주요정책 추진계획' 발표","또한, 양자기술, <b>인공지능</b>(AI), 첨단바이오 등 3대 게임 체인저 기술의 성과 창출을 본격화하고, 차세대 반도체, 차세대 네트워크, 우주 분야 등에서 글로벌 선도 기술을 육성할 계획이다. 이와 함께, AI와 디지털 기술을... ",https://www.mhns.co.kr/news/articleView.html?idxno=573947,https://www.mhns.co.kr/news/articleView.html?idxno=573947
24,2024-02-13 16:27:00,취향 저격 '플레이리스트'에 작곡까지 …'AI 음악' 시대 활짝,"<b>인공지능</b>(AI) 기술이 음악 서비스 시장을 침투하고 있다. 이용자 취향에 맞는 음악을 쏙쏙 골라 추천하는 것은 기본이다. 작곡, 편곡, 작사 생성을 지원해 ‘세상에 없던’ 음악까지 만들어준다. ‘AI 음악 서비스’가... ",https://www.hankyung.com/article/202402130484i,https://n.news.naver.com/mnews/article/015/0004947800?sid=105
25,2024-02-13 16:26:00,[르포] ‘찐’ 디지털 놀이터 즐기고 싶다면 ‘그라운드 220’,가장 붐비는 부스는 단연 LG 그램 프로의 생성형 AI(<b>인공지능</b>) 체험 공간이었다. AI 탑재는 최근 세대 불문하고 모든 사람의 관심사다. 이날 부스를 방문한 한 중년 고객도 직원의 설명 아래 생성형 AI를 활용한 이미지... ,http://www.segyebiz.com/newsView/20240213512866?OutUrl=naver,http://www.segyebiz.com/newsView/20240213512866?OutUrl=naver
26,2024-02-13 16:26:00,"연세대학교 미래교육원, 비전공자를 위한 '제2기 빅데이터 전문가 과정' 수강...","빅데이터와 <b>인공지능</b> 시대가 도래하면서 데이터 분석은 모든 직장인의 고민거리인 동시에 필수적인 과제가 됐고, 이제는 마케팅, 기획, 영업 등 다양한 분야에서 조직의 문제를 해결하고 의사 결정을 내릴 때 데이터... ",http://www.datanews.co.kr/news/article.html?no=131388,http://www.datanews.co.kr/news/article.html?no=131388
27,2024-02-13 16:26:00,"가덕도 신공항 2029년 문 연다…산업은행 부산 이전, 사직구장 재건축","미래 모빌리티와 로봇, <b>인공지능</b>(AI)과 같은 첨단산업 거점으로 조성할 계획이다. 가까운 곳에 센텀시티, 마린시티, 벡스코(BEXCO), 센텀시티역 상권, 해운대 등이 있다는 점을 이용해 산업·주거·문화가 어울린 복합공간도... ",https://biz.chosun.com/topics/topics_social/2024/02/13/62WTHH4MPBF63GDBEJ62HOWU2E/?utm_source=naver&utm_medium=original&utm_campaign=biz,https://n.news.naver.com/mnews/article/366/0000970062?sid=102
28,2024-02-13 16:26:00,"“늦었지만 美日 따라가자”…코스피·코스닥, 3거래일째 상승 [투자360]",주가순자산비율(PBR)이 낮은 업종들의 상승이 이어지는 가운데 연휴 휴장 기간 미국 증시에서 AI(<b>인공지능</b>) 관련 종목이 급등하면서 한국 증시에서도 대형 반도체주가 상승한 덕분이다. 이날 코스피 종가는... ,http://news.heraldcorp.com/view.php?ud=20240213050561,https://n.news.naver.com/mnews/article/016/0002265953?sid=101
29,2024-02-13 16:26:00,"파미셀, 지난해 영업익 12억원···전년比 86.4% ↓",AI(<b>인공지능</b>) 관련 저유전율소재 및 광학용 소재와 같은 첨단소재 분야에서 신규 수요가 급증해 파미셀의 성장을 견인할 것”이라고 말했다. 이어 “최근 첨단재생바이오법 개정으로 첨단재생의료 임상연구 후... ,https://mdtoday.co.kr/news/view/1065592680165847,https://mdtoday.co.kr/news/view/1065592680165847
30,2024-02-13 16:25:00,"과기부, 올해 통신비 인하 정책 지속 추진… 연구개발 등 핵심과제 추진","<b>인공지능</b>기본법 제정과 AI안전연구소 신설을 추진하고, 오는 5월에는 영국과 제2차 AI 안전성 정상회의를 공동 개최합니다. 이종호 장관은 <b>인공지능</b> 제정과 관련해 질문이 나오자 &quot;<b>인공지능</b>법은 지금 계류 중이고 특별한... ",https://news.kbs.co.kr/news/pc/view/view.do?ncd=7888725&ref=A,https://n.news.naver.com/mnews/article/056/0011660798?sid=105
31,2024-02-13 16:24:00,&quot;세뱃돈으로 이 주식 사주세요&quot;...전문가 추천 美 유망종목은,<b>인공지능</b>(AI) 관련 빅테크들이 많은 추천을 받았지만 당장은 주목받지 못한 종목들 장기적으로는 투자할 만하다는 조언이다. ■&quot;AI는 테마가 아니라 추세&quot; 파이낸셜뉴스가 13일 증권사 주요 애널리스트들에 5·10·20년 뒤의... ,http://www.fnnews.com/news/202402131413025305,https://n.news.naver.com/mnews/article/014/0005141549?sid=101
32,2024-02-13 16:24:00,"최태원 글로벌 경영행보, 독일 경제사절단 이어 스페인 MWC 참석",최 회장은 이번 MWC에서 생성형 <b>인공지능</b>(AI)과 디지털 경쟁 상황 등을 직접 살필 전망이다. 또 유영상 SK텔레콤 사장 등 정보통신기술(ICT) 분야의 경영진들과 관련 사업에 대한 논의에 나설 것으로 보인다. 최 회장이... ,https://www.s-journal.co.kr/news/articleView.html?idxno=20157,https://www.s-journal.co.kr/news/articleView.html?idxno=20157
33,2024-02-13 16:24:00,"대구보건대학 이영은 교수, 수상",이 교수는 우수한 <b>인공지능</b> 기반 학습자 맞춤형 교육과정 운영으로 교육혁신에 기여한 바를 인정받았다. 이영은(47) 교수는 &quot;앞으로 AI기반 교육이 학습현장에서 긍정적인 교육 효과를 나타내는 새로운 교수 혁신법으로... ,https://www.idaegu.co.kr/news/articleView.html?idxno=449708,https://www.idaegu.co.kr/news/articleView.html?idxno=449708
34,2024-02-13 16:23:00,"씨엘모빌리티, '한불 신산업 기술협력포럼'서 지속가능한 모빌리티로의 전환 ...",모빌리트윈은 씨엘모빌리티와 영국 캠브리지에 소재한 Alchera Data Technologies가 공동으로 개발 중인 <b>인공지능</b>과 디지털트윈을 결합한 교통수요 예측 및 경로와 배차 최적화 솔루션이다. 씨엘모빌리티의 문기봉... ,http://news.mt.co.kr/mtview.php?no=2024021315110739676,https://n.news.naver.com/mnews/article/008/0004998029?sid=101
35,2024-02-13 16:23:00,“공사도 늦어지고 연구시설도 없고”…세종 공동캠퍼스 대학 입주 차질,"한밭대 관계자는 “200명 정원으로 <b>인공지능</b>(AI) 등의 학과를 만들 예정이었지만, 학생 편의시설 등이 갖춰지지 않아 입주를 연기하게 됐다”며 “‘다른 대학 학생과 어우러질 수 있을 때 입주했으면 좋겠다’는 내부... ",https://www.khan.co.kr/local/Sejong/article/202402131622021,https://n.news.naver.com/mnews/article/032/0003278699?sid=102
36,2024-02-13 16:23:00,과기정통부 &quot;글로벌 R&amp;D 확대…AI · 디지털 혁신으로 도약&quot;,"▲ 이종호 과기정통부 장관 정부가 올해 해외 협력 연구개발(R&amp;D)을 대폭 늘리고 양자, <b>인공지능</b>(AI), 첨단바이오 분야 연구 성과를 내겠다고 밝혔습니다. AI와 디지털 혁신을 통해 경제 성장과 일자리 창출에 나서고... ",https://news.sbs.co.kr/news/endPage.do?news_id=N1007534722&plink=ORI&cooper=NAVER,https://n.news.naver.com/mnews/article/055/0001130435?sid=101
37,2024-02-13 16:23:00,"글로벌 증시 ‘낙관론 팽배’···미·일 사상 최고치, 단기 과열 우려도",이에 따라 미국 기업실적이 뒷받침될 것이란 기대가 높아지는 것인데 그 중심에는 엔비디아 등 <b>인공지능</b>(AI) 관련주가 자리잡고 있다. ‘<b>인공지능</b>(AI) 대장주’로 꼽히는 엔비디아가 12일미국 뉴욕 증시에서 장 중 한때... ,https://www.khan.co.kr/economy/finance/article/202402131622011,https://n.news.naver.com/mnews/article/032/0003278698?sid=101
38,2024-02-13 16:22:00,대전 기상청-충남도 협업 충남 날씨 관광 서비스 시작,"충남 날씨 관광 서비스는 기상 기후와 관광 빅 데이터를 연계해 사용자 여행 유형에 따라 <b>인공 지능</b>(AI)과 해시태그 두 개 방법으로 충남의 관광지를 추천한다. 여행 날짜와 동반 유형, 교통편, 테마를 선택하면 AI가 충남... ",http://www.gocj.net/news/articleView.html?idxno=132560,http://www.gocj.net/news/articleView.html?idxno=132560
39,2024-02-13 16:22:00,"SKT, AI 수의진단 솔루션 ‘엑스칼리버’ 호주서 선보인다",SK텔레콤(대표 유영상)은 호주 최대 의료기기 유통기업인 에이티엑스와 AI(<b>인공지능</b>) 기반 수의 진단 보조 솔루션인 ‘엑스칼리버’의 호주 내 유통을 위한 상용 계약을 13일 체결했다고 밝혔다. 이번 계약 체결로... ,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202402131615350290786,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202402131615350290786
40,2024-02-13 16:22:00,"표정-몸짓 자연스러워…中 방송사, 춘제 연휴에 AI 앵커 투입",“<b>인공지능</b>(AI) 덕분에 앵커들이 명절 쇠러 갔습니다.” 중국의 한 방송국이 중국 최대 명절인 춘제(春節·음력 설) 연휴에 실제 앵커와 똑 닮은 AI 앵커를 선보였다. 중국에선 뉴스 일부에 AI 앵커를 활용한 사례가 없지... ,https://www.donga.com/news/Inter/article/all/20240213/123499954/1,https://n.news.naver.com/mnews/article/020/0003547707?sid=104
41,2024-02-13 16:22:00,"대전 대덕구, <b>인공지능</b> 스피커로 어르신 생명 구조",대덕구청사 대전 대덕구(구청장 최충규)에서 스마트돌봄 사업 <b>인공지능</b>(AI) 스피커가 지역 어르신의 생명을 구했다고 전했다. 대덕구에 따르면 지난 1월 26일 오후 4시에 대덕구의 한 어르신이 두통을 호소해 AI 스피커에... ,http://www.gocj.net/news/articleView.html?idxno=132549,http://www.gocj.net/news/articleView.html?idxno=132549
42,2024-02-13 16:22:00,약학정보원? 보험개발원?...실손보험청구 전산화 '갈팡질팡',또 <b>인공지능</b>(AI) 및 빅데이터 전문 인력을 배치하는 등 조직 체계를 개편했다. 허창언 보험개발원 원장도 &quot;실손보험 청구 간소화 중계기관을 대비해 자체적으로 TF를 준비하고 있다&quot;며 &quot;전송대행 기관으로 선정되면... ,https://daily.hankooki.com/news/articleView.html?idxno=1051188,https://daily.hankooki.com/news/articleView.html?idxno=1051188
43,2024-02-13 16:22:00,&quot;충남교육청 미래교육 의지와 구체적 계획 보여줘&quot;,그러면서 디지털 기반 <b>인공지능</b>교육에 대해선 &quot;충남형 <b>인공지능</b>교육의 특징은 사람을 중심에 두는 것이다. <b>인공지능</b> 기술이 아무리 발전해도 이를 활용하고 진화시키는 주체는 사람이기 때문&quot;이라며 &quot;이 부분은 충남이... ,http://www.goodmorningcc.com/news/articleView.html?idxno=304568,http://www.goodmorningcc.com/news/articleView.html?idxno=304568
44,2024-02-13 16:22:00,"[AI전쟁] &quot;이통3사, AI 리더십",이통3사가 <b>인공지능</b>(AI) 사업 경쟁력 강화에 나서고 있다. AI 전문 스타트업에 수백억원을 투자하는 한편 AI컨텍센터(AICC) 등 기업간거래(B2B) 사업으로 확장하며 수익성 발굴에도 적극적인 모습이다. 이같은 행보는... ,http://www.dailyimpact.co.kr/news/articleView.html?idxno=111205,http://www.dailyimpact.co.kr/news/articleView.html?idxno=111205
45,2024-02-13 16:22:00,"구글, 대화형 <b>인공지능</b> Bard→Gemini로 ‘리브랜딩’","구글(Google)이 대화형 <b>인공지능</b>(AI)을 바드(Bard)에서 제미나이(Gemini)로 리브랜딩했다. 이러한 변화는 지난 8일 이뤄졌다. UI 변경과 더불어 <b>인공지능</b> 모델을 추가하고, 스마트폰 앱과 유료 버전을 출시했다.... ",https://kidd.co.kr/news/235693,https://kidd.co.kr/news/235693
46,2024-02-13 16:21:00,'신사업' 날개 단 대기업 SI…'그룹 전산실' 이미지 털어내나,"한 때 '그룹 전산실' 취급을 받던 이들은 전통적인 SI 사업 비중을 줄이고 클라우드와 <b>인공지능</b>(AI), 특화 소프트웨어(SW) 등으로 수익 다각화에 집중해 좋은 결과를 얻었다. 13일 금융감독원 전자공시시스템에 따르면... ",https://zdnet.co.kr/view/?no=20240213152327,https://n.news.naver.com/mnews/article/092/0002321157?sid=105
47,2024-02-13 16:20:00,스마트·자동화·로봇...건설업계에 부는 AI 바람,지난해부터 이어지는 건설업 불황으로 미래 먹거리 사업에 집중하는 건설사들이 늘고 있는 가운데 정보통신업계의 전유물로 여겨졌던 <b>인공지능</b>(AI) 기술이 건설업에도 활용되면서 향후 성장 동력으로 자리 잡고 있다.... ,http://www.dailyimpact.co.kr/news/articleView.html?idxno=111207,http://www.dailyimpact.co.kr/news/articleView.html?idxno=111207
48,2024-02-13 16:20:00,"[2024 총선] 김용경 서구갑 예비후보, <b>인공지능</b> 활용한 선거운동 비법 공개",[후보 제공] 김용경 국민의힘 대전 서구갑 국회의원 예비후보는 <b>인공지능</b>(AI)를 활용한 선거운동 비법(秘法)을 공개하며 오는 16일 국민의힘 공천후보자 면접을 준비하고 있다. 김 예비후보는 &quot;'사색'하기 바쁘지만 대신... ,https://www.jeonmae.co.kr/news/articleView.html?idxno=1014041,https://www.jeonmae.co.kr/news/articleView.html?idxno=1014041
49,2024-02-13 16:20:00,박성재 후보 &quot;겸수완박으로 형사 절차 느려져…검사 늘리고 AI 활용&quot;,"박 후보자는 지연 문제에 대한 해결 방안으로 검사 정원 증원과 AI(<b>인공지능</b>) 등 첨단 기술 활용도 언급했다. &quot;검찰의 수사권·소추권, 분리할 수 없다&quot; 박 후보자가 13일 국회에 제출한 인사청문회 서면 질의 답변서에서... ",http://news.mt.co.kr/mtview.php?no=2024021313021724742,https://n.news.naver.com/mnews/article/008/0004998026?sid=102
50,2024-02-13 16:20:00,삼성전자·SK하이닉스 상승에 국내증시 3거래일 연속 올라,주가순자산비율(PBR)이 낮은 업종들의 상승이 이어지는 가운데 연휴 휴장 기간 미국 증시에서 AI(<b>인공지능</b>) 관련 종목이 급등하면서 한국 증시에서도 대형 반도체주가 상승한 덕분이다. 이날 코스피 종가는... ,http://www.kado.net/news/articleView.html?idxno=1228763,https://n.news.naver.com/mnews/article/654/0000065781?sid=101
51,2024-02-13 16:20:00,'2024 관세청 업무계획' 발표...'5대 분야 16개 과제' 중점,확대하고 <b>인공지능</b>·빅데이터 등 신기술을 활용해 관세행정의 효율성과 정확성을 제고해 나가겠다&quot;고 강조했다. 고 관세청장은 &quot;글로벌 중추국가 관세청으로서 국제사회 연대·공동번영을 위해 개도국 관세행정 발전을... ,https://www.mhns.co.kr/news/articleView.html?idxno=573946,https://www.mhns.co.kr/news/articleView.html?idxno=573946
52,2024-02-13 16:19:00,춘제기간 AI앵커가 뉴스 진행…덕분에 휴가 간 중국진행자,중국 최대 명절 춘제 기간을 맞아 <b>인공지능</b>(AI) 앵커가 뉴스를 진행해 화제가 됐다. 13일(현지시간) 중국 저장일보 등에 따르면 중국 항저우방송은 지난 10일~11일 이틀간 오후에 방송한 메인 뉴스 '항저우 신원롄보'의... ,http://news.mt.co.kr/mtview.php?no=2024021315283098861,https://n.news.naver.com/mnews/article/008/0004998024?sid=102
53,2024-02-13 16:19:00,[전남일보]이형석 “민주주의 봄 되찾겠다” 출마 선언,"30년이 지나 시설이 낡은 패밀리랜드를 최첨단 복합 테마파크로 업그레이드 시키고, ‘아시아 캐릭터랜드’를 새롭게 조성하는 한편, <b>인공지능</b> 집적화단지 2단계 추진으로 ‘AI 중심도시 북구’를 건설하겠다”고 약속했다.",http://www.jnilbo.com/72753570783,http://www.jnilbo.com/72753570783
54,2024-02-13 16:18:00,"코스피, 1.12% 상승 마감···SK하이닉스 15만원대 3년만","특히 <b>인공지능</b>(AI) 관련해 반도체 주가 상승하며, SK하이닉스가 3년만에 15만원대에 진입했다. 13일 코스피 지수는 전일보다 29.32P(1.12%) 오른 2649.64에 마감했다. 지수는 전장보다  23.85P(0.91%) 오른 2644.17에... ",http://www.seoulfn.com/news/articleView.html?idxno=510352,http://www.seoulfn.com/news/articleView.html?idxno=510352
55,2024-02-13 16:18:00,"KAI, 'AI무인기' 차세대공중전투체계 개발 본격화",KAI 사천 본사[한국항공우주산업 제공] 한국항공우주산업(KAI)이 <b>인공지능</b>(AI) 기반 무인 전투기가 포함된 차세대 공중 전투체계 개발에 집중하기로 했다. 또 이를 위해 우선 1000억원을 투입하기로 했다. KAI는 지난... ,https://www.getnews.co.kr/news/articleView.html?idxno=660958,https://www.getnews.co.kr/news/articleView.html?idxno=660958
56,2024-02-13 16:17:00,"여수시, 취준생에 무료 정장 대여…AI 연습 면접도",여수시는 또 취업준비생의 면접 연습을 돕기 위한 AI(<b>인공지능</b>) 면접도 무료로 제공하고 있다. 김태완 청년일자리과장은 &quot;여수시 청년 면접정장 무료대여 사업이 구직활동에 어려움을 겪고 있는 청년들에게 실질적인... ,https://www.nocutnews.co.kr/news/6094684,https://n.news.naver.com/mnews/article/079/0003863086?sid=102
57,2024-02-13 16:16:00,"정부, 과기의전원 정원 논의 본격화...단통법 폐지도 총력",전 세계 기술 패권 경쟁이 심화되고 있는 <b>인공지능</b>(AI)·양자·바이오 기술과 관련해서 국내 연구진들이 성과를 창출할 수 있도록 다양한 지원방안을 마련했다. 양자는 연구자 주도로 활용할 수 있는 개방형 양자팹... ,https://www.ajunews.com/view/20240213152655211,https://www.ajunews.com/view/20240213152655211
